新课程序号,课程名称,课程性质,校区,排课信息
PSE125206,大学物理实验（下）,公共基础课,四平路校区,"王新(13004),王庆国(18131),倪晨(94773) 星期三1-2节 [1-16] 物理馆2-4楼"
PSE125205,大学物理实验（下）,公共基础课,四平路校区,"程传伟(11090),金佳(18116),查建峰(91137),赵敏(99106) 星期一9-10节 [1-16] 物理馆2-4楼"
PSE125204,大学物理实验（下）,公共基础课,四平路校区,"程传伟(11090),金佳(18116),查建峰(91137),赵敏(99106) 星期一7-8节 [1-16] 物理馆2-4楼"
PSE125203,大学物理实验（下）,公共基础课,四平路校区,"程传伟(11090),金佳(18116),查建峰(91137),赵敏(99106) 星期一5-6节 [1-16] 物理馆2-4楼"
PSE125202,大学物理实验（下）,公共基础课,四平路校区,"方恺(04189),金佳(18116),于婷婷(18117),关佳(24142),花蕾(24144),刘斐(25105),蒋涵文(25106),倪晨(94773) 星期一3-4节 [1-16] 物理馆2-4楼"
PSE350701,广义相对论与宇宙学,专业选修课,四平路校区,章颖理(20528) 星期一7-8节 [1-16] 北214
PSE240901,机械设计基础,专业必修课,四平路校区,谢春(01053) 星期一5-6节 [1-16] 南121 谢春(01053) 星期四3-4节 [1-15单] 南121
PSE351101,X射线与极紫外光学原理及技术,专业选修课,四平路校区,齐润泽(21156) 星期一7-8节 [5-12] 北217 伊圣振(15006) 星期一7-8节 [1-4 13-16] 北217
,低维材料的光学测量,专业选修课,四平路校区,黄迪(22521) 星期五3-4节 [1-8] 一教126 江涛(20508) 星期五3-4节 [9-16] 一教126
PSE260201,物理学科研前沿与实践（一）（下）（竞赛类）,实践环节课程,四平路校区,"方恺(04189),王风丽(05106) 星期四9-10节 [2] 北413 方恺(04189),于婷婷(18117) 星期四9-10节 [1] 北413 方恺(04189),王风丽(05106),马艳(06044),李文斌(09094),金佳(18116),于婷婷(18117),余俊(22188),关佳(24142),刘斐(25105),魏振博(25214),倪晨(94773),赵敏(99106) 星期四9-10节 [3-4 6-7 9-11 13-14] 物理馆2-4楼、机械馆2楼、瑞安楼3-5/7楼 方恺(04189),王风丽(05106),马艳(06044),李文斌(09094),金佳(18116),于婷婷(18117),余俊(22188),关佳(24142),刘斐(25105),魏振博(25214),倪晨(94773),赵敏(99106) 星期四9-10节 [5 8 12 15-16] 北413"
